                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.45827,                0.36063,                0.83813,                0.95546,                0.95153,                 0.9818,                0.87643,                0.49558,                0.37701,                0.82005,             0.00077582,             0.00077582,             0.00077582
                     56,                0.44004,                0.34618,                0.83123,                0.96012,                0.93455,                0.97549,                0.87542,                0.47339,                 0.3801,                0.81317,             0.00075932,             0.00075932,             0.00075932
                     57,                0.44856,                0.34787,                0.83535,                0.94939,                0.96182,                0.98216,                0.89766,                0.42909,                0.35544,                0.80232,             0.00074282,             0.00074282,             0.00074282
                     58,                0.44174,                0.35151,                0.83252,                0.95885,                0.96637,                0.98691,                0.90738,                0.41638,                0.34176,                0.80139,             0.00072631,             0.00072631,             0.00072631
                     59,                0.46311,                0.35373,                0.83739,                0.97063,                 0.9213,                0.98334,                0.88739,                0.44816,                0.36202,                0.80851,             0.00070981,             0.00070981,             0.00070981
                     60,                0.45851,                0.34387,                0.83652,                0.94379,                0.94923,                0.98028,                0.88894,                0.45307,                0.36538,                0.80872,             0.00069331,             0.00069331,             0.00069331
                     61,                0.45471,                0.34812,                0.83296,                0.95823,                0.93213,                0.98221,                0.89828,                0.43623,                 0.3667,                0.80841,              0.0006768,              0.0006768,              0.0006768
                     62,                0.43287,                0.33337,                0.83141,                0.94572,                0.94328,                0.98331,                0.89947,                  0.441,                 0.3606,                0.80861,              0.0006603,              0.0006603,              0.0006603
                     63,                0.44004,                0.33496,                0.83507,                0.95389,                0.94764,                0.97688,                0.88909,                0.43443,                0.36691,                0.80657,              0.0006438,              0.0006438,              0.0006438
                     64,                0.45629,                0.33738,                0.83377,                0.96891,                0.94304,                0.97846,                0.87437,                0.48818,                0.38614,                0.81989,             0.00062729,             0.00062729,             0.00062729
                     65,                0.44725,                0.33861,                0.83346,                0.95138,                0.95506,                0.98366,                0.89161,                0.43971,                0.36055,                0.80647,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.4327,                0.32587,                0.83425,                0.96148,                0.93993,                0.98496,                0.89465,                0.44464,                0.35557,                0.80759,             0.00059429,             0.00059429,             0.00059429
                     67,                0.43375,                0.32393,                0.83103,                0.94943,                0.95673,                0.98337,                0.89737,                 0.4492,                0.34624,                0.80572,             0.00057778,             0.00057778,             0.00057778
                     68,                0.41547,                0.32649,                0.82926,                0.95945,                0.95187,                0.98283,                0.89025,                0.45969,                0.35161,                0.80957,             0.00056128,             0.00056128,             0.00056128
                     69,                0.42441,                0.32576,                0.82718,                0.97469,                0.96403,                0.97799,                0.89636,                0.42064,                0.35929,                0.80345,             0.00054478,             0.00054478,             0.00054478
                     70,                0.42603,                0.31902,                 0.8274,                0.97401,                0.95673,                0.97726,                0.88876,                0.43075,                0.35342,                0.80381,             0.00052827,             0.00052827,             0.00052827
                     71,                0.43156,                0.32829,                0.83051,                 0.9605,                0.94641,                 0.9729,                0.89719,                0.41181,                0.36872,                0.79877,             0.00051177,             0.00051177,             0.00051177
                     72,                0.42855,                0.31419,                0.82807,                 0.9488,                0.95064,                0.97145,                0.87962,                0.46609,                0.38471,                0.81319,             0.00049527,             0.00049527,             0.00049527
                     73,                0.42923,                0.32161,                0.83249,                0.94001,                0.95673,                0.97396,                0.89401,                0.42126,                0.35569,                 0.8011,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.4219,                0.31748,                0.83677,                 0.9474,                0.95602,                0.97669,                0.89778,                0.42962,                0.34835,                0.80615,             0.00046226,             0.00046226,             0.00046226
                     75,                0.40988,                0.30208,                 0.8215,                0.96817,                0.96154,                 0.9841,                0.90389,                0.41017,                0.33599,                0.79994,             0.00044576,             0.00044576,             0.00044576
                     76,                0.42334,                 0.3142,                 0.8262,                0.96981,                0.94873,                0.98753,                0.90777,                0.42077,                0.32767,                0.80464,             0.00042925,             0.00042925,             0.00042925
                     77,                0.39894,                0.30165,                0.82327,                0.97388,                0.95047,                0.98543,                0.90251,                0.40708,                0.32124,                0.79997,             0.00041275,             0.00041275,             0.00041275
                     78,                0.41333,                0.30442,                0.82375,                0.97808,                0.94143,                0.98486,                0.89607,                0.42662,                0.32584,                0.80471,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.4214,                0.31246,                0.82359,                0.97179,                0.93611,                0.98254,                0.90113,                 0.4078,                0.32213,                 0.7999,             0.00037974,             0.00037974,             0.00037974
                     80,                0.42233,                0.30818,                 0.8228,                0.96773,                0.94018,                0.98657,                0.90701,                0.41598,                0.32768,                0.80201,             0.00036324,             0.00036324,             0.00036324
                     81,                0.40378,                0.30292,                 0.8194,                0.96632,                0.94073,                0.98899,                0.90358,                0.43019,                0.32873,                0.80798,             0.00034674,             0.00034674,             0.00034674
                     82,                0.39174,                0.29642,                0.81992,                0.96366,                0.94598,                0.98848,                0.91807,                0.38861,                0.31678,                0.79832,             0.00033023,             0.00033023,             0.00033023
                     83,                0.39272,                0.29644,                0.82102,                 0.9681,                0.94364,                0.98077,                0.90163,                0.41329,                0.32547,                0.80234,             0.00031373,             0.00031373,             0.00031373
                     84,                0.39244,                0.29454,                0.82187,                 0.9516,                0.96182,                0.98326,                0.91046,                  0.397,                0.32645,                0.80078,             0.00029723,             0.00029723,             0.00029723
                     85,                0.38476,                0.28524,                0.81617,                0.95418,                 0.9529,                0.98578,                0.91014,                0.39287,                0.32087,                0.79866,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.3903,                0.29213,                0.81989,                0.94603,                0.96888,                0.98369,                0.91138,                0.38359,                0.32329,                0.79537,             0.00026422,             0.00026422,             0.00026422
                     87,                0.38689,                0.28823,                 0.8216,                0.93464,                0.96982,                 0.9798,                0.89866,                0.41437,                0.33352,                0.80208,             0.00024772,             0.00024772,             0.00024772
                     88,                0.39628,                0.29355,                0.82933,                0.94244,                0.96922,                0.98018,                0.90707,                0.39016,                0.32436,                 0.7982,             0.00023121,             0.00023121,             0.00023121
                     89,                0.38685,                0.28623,                0.81819,                0.95241,                0.96582,                0.98246,                0.89997,                0.41893,                0.32158,                0.80335,             0.00021471,             0.00021471,             0.00021471
                     90,                0.37828,                0.28299,                0.82095,                0.95124,                0.96758,                0.98177,                0.90188,                0.40892,                0.32316,                0.80136,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.3779,                0.27928,                0.82079,                0.94391,                0.96982,                0.98148,                0.89681,                0.42823,                0.32235,                0.80629,              0.0001817,              0.0001817,              0.0001817
                     92,                0.38402,                0.28338,                0.82219,                 0.9354,                0.96582,                0.98016,                0.90042,                0.41631,                0.32855,                0.80375,              0.0001652,              0.0001652,              0.0001652
                     93,                0.37627,                0.27584,                0.81443,                0.93489,                0.96582,                0.97954,                 0.9058,                 0.3972,                0.32192,                0.79866,              0.0001487,              0.0001487,              0.0001487
                     94,                0.38086,                0.27771,                0.81889,                0.94929,                 0.9592,                0.98217,                0.90005,                0.42495,                0.32261,                0.80391,             0.00013219,             0.00013219,             0.00013219
                     95,                0.37219,                0.27439,                0.81628,                0.94496,                0.96537,                0.98273,                0.90801,                 0.3941,                0.31486,                0.79961,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.3783,                0.28039,                 0.8217,                0.94498,                0.96182,                0.98214,                0.90945,                0.38644,                0.31099,                0.79761,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.3669,                0.27499,                0.81816,                0.94865,                0.96125,                0.98077,                  0.903,                0.40311,                0.31593,                0.80036,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.36586,                0.27262,                0.81237,                0.94384,                0.96039,                0.97958,                0.90858,                0.39636,                0.31744,                0.79994,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.36232,                0.26938,                0.81911,                0.94562,                0.95782,                0.97942,                0.91031,                0.38815,                0.31879,                0.79802,             4.9677e-05,             4.9677e-05,             4.9677e-05
